,city,street,district,Reference and listing Date,contract,type,surface,rooms,floor,total building floors,Car parking,availability,other features,price (k€),condominium fees,deposit,year of construction,condition,heating,Air conditioner,Energy Efficiency
1561,Milan,"Via Francesco Lomonaco, 11, 20131 Milano MI, Italia",Città Studi,FIMM_00076038 - 03/04/2024,"Rent, students (6-36 months)",Apartment | Full ownership | Stately property class,100,2,1,3 floors,,Available,Optic fiberSecurity doorBalconyTerraceCentralized TV systemFurnishedCellarWindow frames in double glass / PVCDouble exposure,400.0,€ 70/month,Not indicated,1920,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",F≥ 175 kWh/m² year
1846,Milan,Via Eugenio Carpi,Casoretto,FIMM_00080837 - 02/16/2024,Rent,Apartment | Full ownership | Medium property class,20,2,0,5 floors,,Available,Optic fiberSecurity doorTV system with satellite dishFurnishedCellarWindow frames in double glass / PVCDouble exposure,500.0,€ 200/month,"€ 1,500",1960,Excellent / Refurbished,"Independent, with radiators, powered by methane","Independent, cold",G≥ 175 kWh/m² year
923,Milan,Via Palanzone,Niguarda,EK-108221529 - 01/16/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,66,3,4,4 floors,,Available,Electric gateOptic fiberVideo entryphoneSecurity doorBalconyCentralized TV systemFurnishedShared gardenWindow frames in double glass / woodDouble exposure,500.0,No condominium fees,"€ 1,650",1950,Good condition / Liveable,"Central, with radiators, powered by methane",,G188 kWh/m² year
512,Milan,Via Amilcare Bonomi,Dergano,EK-104381691 - 12/05/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,25,1,3,6 floors,,Available,Optic fiberVideo entryphoneSecurity doorClosetHalf-day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVCDouble exposure,530.0,€ 100/month,"€ 1,590",1970,Good condition / Liveable,"Independent, with radiators, gas powered",,G≥ 175 kWh/m² year
459,Milan,via BROCCHI,Città Studi,AFF24BRO02 - 03/04/2024,"Rent, open",Apartment | Full ownership | Medium property class,27,1,1,5 floors,,Available,Optic fiberVideo entryphoneSecurity doorExternal exposureCentralized TV systemFurnishedShared gardenWindow frames in glass / wood,550.0,€ 240/month,Not indicated,1975,Excellent / Refurbished,"Central, with radiators, powered by methane","Independent, cold/hot",G175 kWh/m² year
704,Milan,Via Carlo Armellini,Affori,EK-106429949 - 12/29/2023,"Rent, 4+4",Apartment | Full ownership | Medium property class,42,2,3,4 floors,1 in shared parking,Available,Electric gateOptic fiberVideo entryphoneSecurity doorClosetBalconyHalf-day conciergeCentralized TV systemFurnishedCellarWindow frames in double glass / PVCDouble exposure,600.0,€ 150/month,"€ 1,800",1995,Good condition / Liveable,"Central, with radiators, gas powered","Independent, cold/hot",G≥ 175 kWh/m² year
1400,Milan,Via Paolo Frisi,Porta Venezia,99 - 02/20/2024,"Rent, transitory",Apartment | Full ownership | Stately property class,23,1,1,4 floors,,Available,Optic fiberSecurity doorInternal exposureFull day conciergeCentralized TV systemFurnishedWindow frames in double glass / PVC,600.0,€ 200/month,Not indicated,1960,Excellent / Refurbished,"Independent, with radiators, power supply","Independent, cold/hot",E≥ 175 kWh/m² year
948,Milan,Via Carlo Marochetti,Corvetto,60824648 - 02/06/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,135,5,7,8 floors,,Available,Video entryphoneExternal exposureBalconyFull day conciergeTV system with satellite dishFurnishedShared gardenWindow frames in glass / wood,600.0,€ 100/month,Not indicated,1960,Good condition / Liveable,"Central, floor heating, powered by lpg","Independent, cold/hot",F161.11 kWh/m² year
1210,Milan,Via Francesco Cavezzali,Turro,Z115 - 03/06/2024,"Rent, transitory",Apartment | Full ownership | Medium property class,20,1,2,9 floors,,Available,Security doorInternal exposureSingle tv systemFurnishedWindow frames in double glass / PVC,600.0,€ 50/month,"€ 1,200",1960,Good condition / Liveable,"Independent, air heating, power supply",,F335.49 kWh/m² year
987,Milan,Via Carlo Marochetti,Corvetto,60844826 - 02/29/2024,"Rent, 4+4",Apartment | Full ownership | Medium property class,65,4,7,8 floors,,Available,Optic fiberVideo entryphoneSecurity doorBalconyFull day conciergeTV system with satellite dishFurnishedCellarWindow frames in double glass / PVCDouble exposure,600.0,€ 100/month,Not indicated,1960,Good condition / Liveable,"Central, with radiators, powered by methane",,F161.11 kWh/m² year
